titleRestaurant,adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,average_price,price_min
MG Wine House,"Selvili Sokak, Kavaklar Mahallesi, Levent No:3, Beşiktaş, İstanbul 34330 Türkiye,İnternet sitesi","Fransız,Amerikan,Biftek Restoranı","Fransız, Amerikan, Biftek Restoranı, Türk",6,+90 212 284 19 33,15-300,5.0,"Öğle Yemeği, Akşam Yemeği",157.5,157.5
Fitty Feed,"Yeşilbahar Sokak, Ömür Apt. No: 2\1 Kadıköy, Çiftehavuzlar, İstanbul 34728 Türkiye,İnternet sitesi","Sağlıklı,Vegan Seçenekleri,Glütensiz Seçenekler",Sağlıklı,2,+90 216 350 14 50,57-255,5.0,"Vegan Seçenekleri, Glütensiz Seçenekler",156.0,156.0
Nars Brasserie,"Alemdar Mahallesi, Şeftali Sokak, Numara:10 Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,İspanyol,Türk","Biftek Restoranı, İspanyol, Türk, Ortadoğu",343,+90 212 511 30 17,5-300,5.0,Vejetaryen Dostu,152.5,152.5
Dar'inn Restaurant Meze & Bar,"Evliya Celebi Mahallesi, Mesrutiyet Caddesi, No 108 Sishane, İstanbul 34440 Türkiye,İnternet sitesi",Türk,Türk,15,+90 212 252 32 32,100-200,5.0,"Öğle Yemeği, Akşam Yemeği",150.0,150.0
Skull & Bones,"Kemankeş Karamustafa Paşa Mah. Kemankeş Cad. Veli Alemdar Han No:49 Jw Marriott Istanbul Bosphorus, İstanbul 34425 Türkiye,İnternet sitesi","Latin,Bar,Bar","Latin, Bar, Bar",1,+90 212 806 20 20,50-250,5.0,Akşam Yemeği,150.0,150.0
Şirvan Sofrası,"Küçük Ayasofya Mh. Küçük Ayasofya Cd. No: 71 Sultanahmet, Fatih, İstanbul 34000 Türkiye,İnternet sitesi","Akdeniz,Türk,Vejetaryen Dostu","Akdeniz, Türk",1191,+90 212 458 40 81,43-255,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",149.0,149.0
Marpujj Kabaab Hookah,"Cankurtaran Mah. Akbıyık Caddesi Adliye Sokak No:11 Sultanahmet Fatih, İstanbul 34122 Türkiye,İnternet sitesi","İtalyan,Biftek Restoranı,Deniz Mahsülleri","Türk, Barbekü, İtalyan, Biftek Restoranı, Deniz Mahsülleri",226,+90 533 432 98 63,85-213,5.0,"Öğle Yemeği, Akşam Yemeği, Kahvaltı, Brunch, İçecekler",149.0,149.0
Golden Box Restaurant,"Mecidiye Mahallesi, Osmanzade Sk. No: 16 Beşiktaş, İstanbul 34347 Türkiye,İnternet sitesi","Pizza,Barbekü,Sokak Yemekleri","Pizza, Barbekü, Sokak Yemekleri, Ortadoğu",13,+90 212 236 41 70,14-284,5.0,"Öğle Yemeği, Akşam Yemeği, Kahvaltı",149.0,149.0
Buhara Ocakbaşı Restaurant,"Alemdar Mah. Nuruosmaniye Cad. No: 7 Sultanahmet, İstanbul 34440 Türkiye,İnternet sitesi","Deniz Mahsülleri,Sağlıklı,Vegan Seçenekleri","Deniz Mahsülleri, Sağlıklı",4064,+90 212 513 74 24,71-213,5.0,"Vegan Seçenekleri, Helal, Glütensiz Seçenekler",142.0,142.0
Novas Hagiasophia,"Küçük Ayasofya Mahallesi Küçük Ayasofya Medresesi Sok, Hüseyin Medresesi İşhanı No:21, İstanbul 34123 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Avrupa","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",521,+90 534 962 29 86,,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",142.0,142.0
Nev Lokanta,"Büyükdere Caddesi, No 185 Kanyon AVM, 1. Kat, İstanbul Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Mangal","Akdeniz, Türk, Mangal, Lokanta",12,+90 212 353 07 20,64-213,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",138.5,138.5
Senfoni Roof Local Cuisine,"Gençtürk Cad., Ağa Yokuşu, No:6 Kemal Paşa Mahallesi, İstanbul 34470 Türkiye,İnternet sitesi","Biftek Restoranı,Deniz Mahsülleri,Akdeniz","Biftek Restoranı, Deniz Mahsülleri, Akdeniz, Barbekü, Türk",6,+90 533 432 98 63,64-213,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",138.5,138.5
Deraliye Restaurant,"Ticaret Hane Sokak No: 45 Sultanahmet İstanbul, İstanbul 34110 Türkiye,İnternet sitesi,Menü","Türk,Füzyon,Ortadoğu","Türk, Füzyon, Ortadoğu, Orta Asya",2167,+90 212 520 77 78,64-206,5.0,"Vegan Seçenekleri, Helal, Glütensiz Seçenekler",135.0,135.0
Antakya Kebap Center,"Asmalı Mescit Mah. Asmalı Mescit Sok. No: 17/C Beyoğlu, İstanbul 34421 Türkiye,İnternet sitesi","Akdeniz,Barbekü,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal",181,+90 212 292 18 43,,5.0,"Öğle Yemeği, Akşam Yemeği",135.0,135.0
Rainbow Fish & Meat Restaurant,"Mimar Mehmet Ağa Caddesi No 33/1, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Türk, Akdeniz, Barbekü, Sağlıklı",349,+90 545 807 43 72,18-250,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",134.0,134.0
Garden 1897 Restaurant,"Sehit Mehmet Paşa Sokak No:5 Inside Of Garden House Hotel, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Akdeniz,Barbekü,Türk","Türk, Akdeniz, Barbekü, Füzyon",332,+90 530 186 23 59,18-250,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",134.0,134.0
Bistro Chef Restaurant & Cafe,"Hüdavendigar Cad. No: 17 Sirkeci, İstanbul 34110 Türkiye,İnternet sitesi","Kafe,Deniz Mahsülleri,Uluslararası","Kafe, Deniz Mahsülleri, Uluslararası, Akdeniz, Barbekü, Avrupa, Türk, Sağlıklı, Ortadoğu, Doğu Avrupa, Orta Avrupa",752,+90 530 205 36 32,50-213,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",131.5,131.5
Zeytin Ağacı Cafe & Restaurant,"Ayvansaray Mahallesi, Kundakçı Sokak No : 16 Ayvansaray , Fatih, İstanbul 34200 Türkiye,İnternet sitesi","Pizza,Kafe,Akdeniz","Pizza, Kafe, Akdeniz, Türk, Çorbalar",16,+90 212 532 20 18,64-199,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",131.5,131.5
Loti Cafe & Roof Lounge,"Divan Yolu Caddesi No: 27 Fatih, Sultanahmet, İstanbul 34112 Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Sağlıklı","Akdeniz, Türk, Sağlıklı, Ortadoğu",593,+90 538 093 58 85,10-250,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",130.0,130.0
Queb Lounge 360 Sultanahmet,"Cankurtaran Mahallesi, Akbıyık Caddesi, No:29 The Byzantium Hotel, Roof katı, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Avrupa,Türk,Vegan Seçenekleri","Türk, Avrupa",338,+90 212 458 08 80,8-250,5.0,"Vegan Seçenekleri, Helal",129.0,129.0
Erhan Restaurant,"Binbirdirek Mahallesi, Klodfarer Caddesi No: 29/E Fatih, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Sağlıklı, Ortadoğu",1765,+90 544 288 32 12,99-156,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",127.5,127.5
Summit Bar and Terrace,"Conrad Istanbul Cihannuma Mahallesi Besiktas, İstanbul 34353 Türkiye,İnternet sitesi,Menü","Bar,Uluslararası,Avrupa","Bar, Avrupa, Uluslararası, Çağdaş",264,+90 212 310 25 25,85-170,5.0,"Vejetaryen Dostu, Glütensiz Seçenekler",127.5,127.5
Muaf Beyoğlu,"Kurabiye Sokak No:4 Şehit Muhtar Mahallesi / Beyoğlu, İstanbul 34435 Türkiye,İnternet sitesi","Bar,Türk,Bar",Vejetaryen Dostu,33,+90 212 243 24 38,,5.0,"Brunch, Gece Eğlencesi, İçecekler, Öğle Yemeği, Akşam Yemeği",125.5,125.5
