adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,titleRestaurant
"Fatih Sultanahmet Cankurtaran Mah Kutlugün Sk. No:51-4, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Vejetaryen Dostu,Vegan Seçenekleri",Akdeniz,400 yorum,+90 536 406 73 90,₺40 - ₺120,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Ottoman terrace fish & meat
"Hüseyinağa Mahallesi, İstiklal Cd. No: 62 Beyoğlu, Halep Pasajı, İstanbul 34435 Türkiye,İnternet sitesi,Menü","$$-$$$,Barbekü,Türk,Ortadoğu","Barbekü, Türk, Ortadoğu",268 yorum,+90 541 249 80 13,₺40 - ₺320,"3,5",Helal,Münhasır Döner & Kebap
"Küçük Ayasofya Mahallesi Küçük Ayasofya Medresesi Sok, Hüseyin Medresesi İşhanı No:21, İstanbul 34123 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Akdeniz,Avrupa","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",521 yorum,+90 534 962 29 86,"Deniz Mahsülleri, Akdeniz, Avrupa, Türk, Sağlıklı, Mangal","5,0","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",Novas Hagiasophia
"Alemdar, Biçki Yurdu Sk. No 5 Bickiyurdu sk. Divan center No:5, İstanbul 34122 Türkiye,İnternet sitesi","$,Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Barbekü, Türk, Ortadoğu, Akdeniz",1.109 yorum,+90 537 982 73 95,₺50 - ₺95,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Istanbul Kebab Cafe & Restaurant
"Küçük Ayasofya Mah. Şehit Mehmetpaşa Ykş. No: 9 Fatih, Sultanahmet, İstanbul Türkiye,İnternet sitesi","$$-$$$,Kafe,Akdeniz,Avrupa","Kafe, Akdeniz, Avrupa, Türk, Ortadoğu",571 yorum,+90 535 931 88 17,₺71 - ₺353,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Kosher, Glütensiz Seçenekler",Myterrace Cafe & Restaurant
"Alemdar, Çatalçeşme Sk. NO19/1A Fatih, İstanbul 34410 Türkiye,İnternet sitesi","$$-$$$,Biftek Restoranı,Deniz Mahsülleri,Akdeniz","Deniz Mahsülleri, Barbekü, Türk, Biftek Restoranı, Akdeniz, Sağlıklı, Ortadoğu",1.293 yorum,+90 541 658 77 44,₺35 - ₺106,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Saltanat Balık ve Kebap Evi
"Küçük Ayasofya Mahallesi Mustafapaşa Sk No 18 Sultanahmet, İstanbul 34120 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",1.101 yorum,+90 506 781 61 21,₺30 - ₺90,"5,0","Vejetaryen Dostu, Helal",La Romantica  Turkish  Kitchen
"Seyit hasan sokak no:8 Cankurtaran mah., İstanbul 34000 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Uluslararası,Akdeniz","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Uluslararası",208 yorum,+90 212 518 72 67,₺50 - ₺130,"5,0","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",En La Luna Terrace
"Binbirdirek, Peykhane Cd. no 16 Sultanahmet binbirdirek, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$-$$$,Biftek Restoranı,Deniz Mahsülleri,Barbekü","Biftek Restoranı, Deniz Mahsülleri, Barbekü, Türk, Füzyon",1.112 yorum,+90 532 349 02 38,₺71 - ₺176,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Garden Mezze
"Binbirdirek mah peykhane sokak no:18 Fatih İstanbul, İstanbul 34122 Türkiye,İnternet sitesi","$,Akdeniz,Barbekü,Avrupa","Akdeniz, Türk, Sağlıklı, Barbekü, Avrupa",120 yorum,+90 532 067 48 13,₺22 - ₺55,"5,0","Öğle Yemeği, Akşam Yemeği",Hidden Garden
"AlayKöşkü Cad. No: 22, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Uluslararası,Akdeniz","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Ortadoğu, Sağlıklı, Uluslararası",3.014 yorum,+90 542 433 66 52,₺71 - ₺141,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Gülhane Şark Sofrası
"Binbirdirek Mahallesi, Klodfarer Caddesi No: 29/E Fatih, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Sağlıklı, Ortadoğu",1.765 yorum,+90 544 288 32 12,₺99 - ₺155,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Erhan Restaurant
"Sultanahmet bab-i ali cad. basmuhasip sok. no :13.34110 On The Top Of Great Fortune Hotel Terrace, İstanbul 34093 Türkiye,İnternet sitesi,Menü","$$-$$$,Biftek Restoranı,Deniz Mahsülleri,Akdeniz","Biftek Restoranı, Akdeniz, Barbekü, Türk, Deniz Mahsülleri",641 yorum,+90 212 520 71 32,₺25 - ₺220,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Yakamoz Terrace Cafe Restaurant
"alemdar mah. çatalçeşme sokak no:5/A Fatih/istanbul, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Uluslararası,Türk","Uluslararası, Türk",102 yorum,+90 212 526 46 46,₺50 - ₺120,"5,0","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",Las Tapas Restaurant
"Sehit Mehmet Paşa Sokak No:5 Inside Of Garden House Hotel, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$,Akdeniz,Barbekü,Türk","Türk, Akdeniz, Barbekü, Füzyon",332 yorum,+90 530 186 23 59,₺18 - ₺250,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Garden 1897 Restaurant
"Buyuk komurcu sokak no 6 Muhsinehatun Mahallesi fatih, İstanbul 34093 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Vejetaryen Dostu",Deniz Mahsülleri,212 yorum,+90 530 953 79 21,₺55 - ₺95,"5,0",Vejetaryen Dostu,Kumkapi Kosem Fish Restaurant
"Hocapaşa Mah. Hocapaşa Camii Sok. No:2/B Sirkeci-Fatih, İstanbul Türkiye,İnternet sitesi","$$-$$$,Barbekü,Türk,Mangal","Türk, Mangal, Ortadoğu, Barbekü, Sağlıklı",2.444 yorum,+90 212 513 77 63,₺35 - ₺141,"5,0","Vejetaryen Dostu, Helal",Bitlisli
"Vidinli Tevfik Pasa Cad. No:14 Balabanağa Mahallesi, İstanbul 34134 Türkiye,İnternet sitesi,Menü","$,Biftek Restoranı,Bar,Avrupa","Biftek Restoranı, Bar, Avrupa, Türk, Sağlıklı",1.584 yorum,+90 533 149 22 72,₺30 - ₺80,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Lotiz Lounge & Hookah
"Eski Vapur Iskelesi Sokak no:17 Right across Ortaköy Pier, İstanbul 34330 Türkiye,İnternet sitesi,Menü","$,Avrupa,Türk,Mangal","Avrupa, Türk, Mangal, Sağlıklı",13 yorum,+90 545 660 20 50,₺15 - ₺60,"3,5","Öğle Yemeği, Akşam Yemeği",Hobo Istanbul
"Ordu Caddesi, Yesil Tulumba Sok, No.9/1 Laleli / Fatih, İstanbul 34134 Türkiye,İnternet sitesi,Menü","$$-$$$,İtalyan,Çin,Biftek Restoranı","İtalyan, Biftek Restoranı, Çin, Deniz Mahsülleri, Barbekü, Türk, Sağlıklı, Orta Avrupa, Napoli, Emilia, Campania, Sicilya, Lombard, Liguria, Kuzey İtalya, Güney İtalya",1.026 yorum,+90 212 522 74 96,₺49 - ₺141,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Byzantion Bistro Restaurant
"Kordonboyu Mahallesi, Rıhtım Caddesi. D:No.:19 Kartal, İstanbul 34860 Türkiye,İnternet sitesi,Menü","$,Kafe,Akdeniz,Barbekü","Türk, Kafe, Akdeniz, Barbekü, Mangal",131 yorum,+90 216 488 57 60,₺5 - ₺65,"5,0","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",Alır Cafe Restaurant
"Kadirga Liman Caddesi, Cami Sokak No:7 Küçük Ayasofya mahallesi, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Ortadoğu",1.083 yorum,+90 536 764 92 64,₺17 - ₺150,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Istanbul Anatolian Cuisine
"Balabanağa Mahallesi, Büyükreşitpaşa Caddesi, No 10 Vezneciler Metro Durağı, İstanbul 34134 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Türk, Barbekü, Sağlıklı, Ortadoğu",106 yorum,+90 530 600 47 55,₺14 - ₺388,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Behzadem Cafe & Restaurant
"Cankurtaran Mahallesi, Tevkifhane Sokak No: 12 Fatih, Turk Art Hotel, Four Seasons Hotel Karşısı, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Türk,Vejetaryen Dostu","Türk, Deniz Mahsülleri",1.638 yorum,+90 530 562 44 21,₺21 - ₺600,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Turk Art Terrace Restaurant
"Akbıyık Caddesi no 34 Cankurtaran Mah, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Uluslararası,Türk,Vejetaryen Dostu","Uluslararası, Türk",175 yorum,+90 535 920 31 51,₺10 - ₺70,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Mitani Cafe & FUN PUB
"Ticarethane Sokak No 39/42 Alemdar mahhalesi, İstanbul 34120 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Barbekü, Türk, Mangal",928 yorum,+90 537 835 75 00,₺63 - ₺134,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal",Vamos Estambul Cafe & Restaurant
"İbn-i Kemal Sokak, No 20, Fatih, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Uluslararası,Akdeniz,Barbekü","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",806 yorum,+90 538 580 40 70,"Uluslararası, Türk, Akdeniz, Barbekü, Avrupa, Ortadoğu, Doğu Avrupa, Mangal","5,0","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",Viva Restaurant
"Yerebatan Cad. No: 37 Sultanahmet, Adamar Hotel, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",1.119 yorum,+90 212 511 19 36,"Akdeniz, Avrupa, Türk","4,5","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",Panoramic Restaurant
"Yerebatan Cad. No:18 Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Biftek Restoranı,Bar,Vejetaryen Dostu",Biftek Restoranı,1.025 yorum,+90 532 777 45 57,₺85 - ₺212,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",360 Panorama Cihannüma Restaurant
"Çatalçeşme Sk. 27 C Alemdar Mh., İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Türk,Ortadoğu","Türk, Ortadoğu, Akdeniz",166 yorum,+90 533 022 35 62,₺20 - ₺62,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Otantik Kebab
"Hüdavendigar Caddesi, Erdoğan Sok. No: 14 - 16 Gülhane, Hotel Adora, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Ortadoğu",531 yorum,+90 212 527 49 49,₺34 - ₺297,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Adora Restaurant
"Kutlu Gün Sk. No:49, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Vejetaryen Dostu",Deniz Mahsülleri,671 yorum,+90 534 263 98 46,₺49 - ₺120,"5,0",Vejetaryen Dostu,Sultanahmet Ottoman Fish Terrace House
"Ebu Suud Cad. No:18, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Sağlıklı, Ortadoğu",3.184 yorum,+90 212 528 13 43,₺17 - ₺199,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Olive Anatolian Restaurant
"Kürekçiler Sok. No: 12 Arap Camii Mah., İstanbul 34100 Türkiye,İnternet sitesi,Menü","$,Barbekü,Türk,Mangal","Barbekü, Türk, Mangal",217 yorum,+90 212 249 23 04,₺60 - ₺120,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Rakofoli
"Cankurtaran Mahallesi, Akbıyık Cad. No: 23 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$-$$$,Uluslararası,Akdeniz,Avrupa","Akdeniz, Avrupa, Türk, Ortadoğu, Uluslararası",1.179 yorum,+90 212 518 76 22,₺3 - ₺22,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Magnaura Cafe & Restaurant
"Binbirdirek Mah. Binbirdirek Meydanı Sok.  No:1 Sultanahmet, Deluxe Golden Horn Sultanahmet, İstanbul 34400 Türkiye,İnternet sitesi,Menü","$$-$$$,Türk,Ortadoğu,Vejetaryen Dostu","Türk, Ortadoğu",514 yorum,+90 212 518 17 17,₺65 - ₺75,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Deluxe Golden Horn Terrace Restaurant
"Cankurtaran Mah. Yeni Akbıyık Cad. No: 36-38, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Uluslararası,Akdeniz","Deniz Mahsülleri, Uluslararası, Ortadoğu, Akdeniz, Türk",2.330 yorum,+90 212 517 90 31,₺63 - ₺367,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Albura Kathisma
"Divanyolu Cad. Hoca Rüstem Sok. No: 3 Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Uluslararası,Türk,Sağlıklı","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",2.407 yorum,+90 212 522 83 56,"Türk, Sağlıklı, Uluslararası","4,5","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",Amedros
"Divanyolu Cad. Alemdar Mah.Ticarethane Sk. No:45 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Ortadoğu",824 yorum,+90 212 513 83 90,₺141 - ₺1.058,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Sura Kebap Restoran
"Sultan Ahmet Mahallesi, Akbıyık Cad. No: 5 Fatih, İstanbul Türkiye,İnternet sitesi","Kafe,Akdeniz,Avrupa,Türk","Kafe, Akdeniz, Avrupa, Türk, Sağlıklı, Ortadoğu",2.159 yorum,+90 212 458 66 41,₺92 - ₺275,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Kosher, Glütensiz Seçenekler",Cafe Rumist
"Müeyyedzade Mah. Tatarbeyi Sokak 15/B, İstanbul 34425 Türkiye,İnternet sitesi","$$-$$$,Fransız,Kafe,Akdeniz","Fransız, Akdeniz, Türk, Kafe, Sağlıklı",108 yorum,+90 537 427 90 30,₺20 - ₺48,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Dükkan Galata
"Conrad Istanbul Cihannuma Mahallesi Besiktas, İstanbul 34353 Türkiye,İnternet sitesi,Menü","$$-$$$,Bar,Uluslararası,Avrupa","Bar, Avrupa, Uluslararası, Çağdaş",264 yorum,+90 212 310 25 25,₺85 - ₺170,"5,0","Vejetaryen Dostu, Glütensiz Seçenekler",Summit Bar and Terrace
"Küçük Ayasofya Mah. Kaleci sok. No:9/101 Kaleci sok. Akburçak Sokağin kesiştiği köşe., İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Kafe,Akdeniz,Avrupa","Kafe, Akdeniz, Avrupa, Türk, Sağlıklı",340 yorum,+90 212 638 44 80,₺15 - ₺25,"5,0","Vegan Seçenekleri, Helal, Glütensiz Seçenekler",mitara cafe & art
"Utangaç Sokak No: 23/A Cankurtaran Mah., İstanbul 34000 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Türk,Füzyon","Deniz Mahsülleri, Türk, Füzyon",2.040 yorum,+90 212 516 66 61,₺35 - ₺176,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Kosher, Glütensiz Seçenekler",Old House Restaurant
"Hoca Paşa Mah. İbn-i Kemal Cad. No: 13 Fatih,Sirkeci, İstanbul 34112 Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Türk,Sağlıklı","Akdeniz, Türk, Sağlıklı",1.435 yorum,+90 212 522 34 21,₺14 - ₺25,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Constantine's Ark
"Alemdar Mahallesi, Şeftali Sokak, Numara:10 Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Biftek Restoranı,İspanyol,Türk","Biftek Restoranı, İspanyol, Türk, Ortadoğu",343 yorum,+90 212 511 30 17,₺5 - ₺300,"5,0",Vejetaryen Dostu,Nars Brasserie
"Cankurtaran Mahallesi Akbıyık Caddesi No 81 Sultanahmet Fatih, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Akdeniz,Barbekü","Akdeniz, Türk, Şarap Barı, Ortadoğu, Yemekli barlar, Deniz Mahsülleri, Barbekü",69 yorum,+90 541 941 89 77,₺42 - ₺114,"5,0","Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",İstanbul Turkish Restaurant
"Kameriye Sk. No:7 Hüseyinaga Mahallesi, İstanbul 34435 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Barbekü,Türk","Barbekü, Türk, Ortadoğu, Akdeniz, Mangal",225 yorum,+90 212 244 64 60,₺212 - ₺705,"4,5","Vejetaryen Dostu, Helal",Babel Ocakbaşı Nevizade
"Çakmaktaşı Sk No :5 Sultanahmet, İstanbul 34000 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Barbekü","Barbekü, Türk, Deniz Mahsülleri, Akdeniz",274 yorum,+90 212 514 88 99,₺20 - ₺70,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",El Pescador Restaurant
"Yerbatan Cad. No: 23 Sultanahmet, Kybele Hotel, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",975 yorum,+90 212 511 77 66,"Akdeniz, Avrupa, Türk, Ortadoğu","4,5","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",Kybele Restaurant
"Tatarbeyi Street No: 9/B, İstanbul 34425 Türkiye,İnternet sitesi","$,Akdeniz,Türk,Sağlıklı","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",402 yorum,+90 212 252 20 22,"Akdeniz, Türk, Sağlıklı, Ortadoğu","4,5","Öğle Yemeği, Akşam Yemeği, İçecekler",Galata Kitchen
"İncili Çavuş Sok. No: 15A Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Vejetaryen Dostu,Vegan Seçenekleri,Helal","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",1.853 yorum,+90 537 426 96 05,₺45 - ₺115,"4,5","İçecekler, Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",Fuego Restaurant
"Hamidiye Caddesi No 4 Sirkeci Fatih 15 Mt To Sirkeci Tram Station, İstanbul 34000 Türkiye,İnternet sitesi","$$-$$$,Barbekü,Türk,Mangal","Barbekü, Türk, Sağlıklı, Çorbalar, Mangal",293 yorum,+90 212 522 99 11,₺8 - ₺75,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Kosher, Helal",Maranda Döner
"Asmalı Mescit Mah.  Meşrutiyet Cad. No: 107/F Beyoğlu, İstanbul 34430 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Türk,Sağlıklı","Akdeniz, Türk, Sağlıklı, Ortadoğu",439 yorum,+90 212 243 26 33,₺106 - ₺247,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Aheste
"Mustafa Paşa Sk. No: 42 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,İtalyan,Akdeniz,Avrupa","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",470 yorum,+90 212 517 58 19,"İtalyan, Akdeniz, Avrupa","4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Nostra Casa
"Cankurtaran Mahallesi, Akbıyık Cad. No: 26 Fatih, İstanbul 34400 Türkiye,İnternet sitesi","$$-$$$,Pizza,Deniz Mahsülleri,Uluslararası","Pizza, Deniz Mahsülleri, Türk, Ortadoğu, Uluslararası",86 yorum,+90 541 904 34 73,₺18 - ₺170,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Kosher, Glütensiz Seçenekler",Shadow Kitchen & Bar
"Ticarethane Sok. No: 13 Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Türk,Vejetaryen Dostu,Vegan Seçenekleri",Türk,537 yorum,+90 212 514 39 16,₺49 - ₺180,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",N Terrace
"Cihangir Mahallesi, Soğancı Sk. No: 3 Beyoğlu, Kat 5, İstanbul 34433 Türkiye,İnternet sitesi,Menü","$$-$$$,Uluslararası,Akdeniz,Türk","Akdeniz, Türk, Uluslararası",1.191 yorum,+90 212 293 37 74,₺176 - ₺459,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",5. Kat Restaurant & Cafe Bar
